id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v32_weak_non_digital_gov,v27_event_key,v26가드레일사유
2376,경쟁사/해외이슈,경쟁사_해외이슈,배달의민족,"2026 경산 카페 축제, 배달의민족 'B마트'와 손잡고 신비복숭아 전국 실시간 배송",2026 경산 카페 축제 배달의민족 b마트 와 손잡고 신비복숭아 전국 실시간 배송,시사뉴스,시사뉴스,"Tue, 23 Jun 2026 20:06:44 GMT","2026 경산 카페 축제, 배달의민족 'B마트'와 손잡고 신비복숭아 전국 실시간 배송 시사뉴스",https://news.google.com/rss/articles/CBMiY0FVX3lxTE9mS05LMTRzaWV5aktSWTJ4N2tQLUp4NlE5STAzU19RYzEzR0IybzBVQzNnMUp2aTgzNjhRT3B6c2tfZ09zX1Ytb3otaDZET2cwemd5dHVZTURGeF9JUVNySzFQQQ?oc=5,"google_rss_""배달의민족"" when:2d",50.0,7.0,self_pr_promo,,배달의민족,,,,,,,general,24.0,published_today,general,global_incident:platform_regulation:baemin:delivery_app_fee_policy,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,competitor_actor_action_pass,Y,baemin,50.0,,,global_incident:platform_regulation:baemin:delivery_app_fee_policy:general,global_incident:platform_regulation:baemin:delivery_app_fee_policy,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,global_incident:platform_regulation:baemin:delivery_app_fee_policy,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:baemin:delivery_app_fee_policy,comp_domestic_finance_commerce,,,,
333,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오뱅크,"NIA·KOSA, AI 정책·법제 협력 강화…공공 AX·글로벌 진출도 맞손",nia kosa ai 정책 법제 협력 강화 공공 ax 글로벌 진출도 맞손,이데일리,이데일리,"Wed, 24 Jun 2026 00:24:41 GMT","NIA·KOSA, AI 정책·법제 협력 강화…공공 AX·글로벌 진출도 맞손 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxNU3g5eFZuNUtWOUFYMmxFaXRtTmkyaTYya24wVVozcHhZWDZhUlA5N0ZTZUxCbEV2cDJOY2ozdUZ2UDl2MkZsN3ZLYjFoZzMwNjVoTDFvaFprUHlleVhtcXIzd09VUVZMeDRndldyYjVIREJGSGhaaGpHcHBTOS1IQg?oc=5,google_rss_카카오뱅크 site:edaily.co.kr when:2d,45.8,-69.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,,v43_self_not_actual_actor:OFF_TOPIC;brand_not_in_title,Y,,,,industry:platform_obligation,platform_operator_obligation,24.0,published_today,business_change,global_incident:platform_regulation:platform_sector:platform_operator_obligation,general,,"insufficient_industry_basis:actor=False,change=False,bridge=False",0,global_platform_or_overseas_rule,Y,global,45.8,"policy_legislation,ai_infrastructure_security",industry:platform_obligation,global_incident:platform_regulation:platform_sector:platform_operator_obligation:general,global_incident:platform_regulation:platform_sector:platform_operator_obligation,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,global_incident:platform_regulation:platform_sector:platform_operator_obligation,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,,other,,,global_incident:platform_regulation:platform_sector:platform_operator_obligation,self_strategic_reference,,,,
3287,정부/국회,정부_국회,가상자산 거래소,가상자산 거래소 격변기선도 굳히는 두나무…추가 지분거래 '이목' : 네이버 블로그,가상자산 거래소 격변기선도 굳히는 두나무 추가 지분거래 이목 네이버 블로그,Naver Blog,Naver Blog,"Tue, 23 Jun 2026 12:46:44 GMT",가상자산 거래소 격변기선도 굳히는 두나무…추가 지분거래 '이목' : 네이버 블로그 Naver Blog,https://news.google.com/rss/articles/CBMijwFBVV95cUxPTlFCVXp2MlZmVkFsbFNpUktLN1dmdHowNWZtNlo4YV9JTGZPWldfeHNiS1pmVmhNaS1rNFBUNmhVNUhnUHZEOGl5cDBNVGFWZEdqOGNVd1liU0ZyOXV0NEJHNXZpMEVUTHlJX3JidFZjUUluMVp6WlVkdXBEQXBzb3hINkRvOEI4SFF5c08wTQ?oc=5,google_rss_가상자산 거래소 when:2d,33.5,-1.5,"digital_asset_stablecoin,dunamu_stake,stablecoin,strategy_mna_governance",dunamu_stake_sale,"네이버,두나무",v43_not_government_policy,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:digital_asset_policy:naver:digital_asset_policy,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,33.5,"strategy_mna_governance,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:naver:digital_asset_policy:general,global_incident:digital_asset_policy:naver:digital_asset_policy,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:digital_asset_policy:naver:digital_asset_policy,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,4,4,3,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,COMP_DOMESTIC_STRATEGY,domestic,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,global_incident:digital_asset_policy:naver:digital_asset_policy,comp_domestic_strategy,weak_gov_basis:no_public_actor_action_domain,,,
1759,정부/국회,정부_국회,AI기본법,"NIA·KOSA, AI 정책·법제 협력 강화…공공 AX·글로벌 진출도 맞손",nia kosa ai 정책 법제 협력 강화 공공 ax 글로벌 진출도 맞손,네이트,네이트,"Wed, 24 Jun 2026 00:26:00 GMT","NIA·KOSA, AI 정책·법제 협력 강화…공공 AX·글로벌 진출도 맞손 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE91RklNZ3FXdE1aMUNiQUlnakRxUjBST0hiZGhXRTQzY25Fbk9iSE1rZzVDWnFuMzVVdXBqZWI4V1ZaUDVyOWdPMjVHV01zV2pDZHZj?oc=5,google_rss_AI기본법 when:2d,27.0,18.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,,v43_not_government_policy,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,business_change,global_incident:platform_regulation:platform_sector:platform_operator_obligation,general,,"insufficient_industry_basis:actor=False,change=False,bridge=False",0,global_platform_or_overseas_rule,Y,global,27.0,"policy_legislation,ai_infrastructure_security",government:platform_obligation,global_incident:platform_regulation:platform_sector:platform_operator_obligation:general,global_incident:platform_regulation:platform_sector:platform_operator_obligation,경쟁사_해외이슈,GOV_AI_DIGITAL_POLICY,government_ai_core_policy,global_incident:platform_regulation:platform_sector:platform_operator_obligation,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,2,4,5,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain,local_low_confidence,,OFF_TOPIC,,other,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,,global_incident:platform_regulation:platform_sector:platform_operator_obligation,government_ai_core_policy,weak_gov_basis:no_public_actor_action_domain,,,
3256,정부/국회,정부_국회,해외이전,가상자산 규제 정비 주문한 FATF…특금법 개정안 쟁점 재부각 · 달라지는 점은?,가상자산 규제 정비 주문한 fatf 특금법 개정안 쟁점 재부각 달라지는 점은,supple.kr,supple.kr,"Mon, 22 Jun 2026 23:38:00 GMT",가상자산 규제 정비 주문한 FATF…특금법 개정안 쟁점 재부각 · 달라지는 점은? supple.kr,https://news.google.com/rss/articles/CBMiXEFVX3lxTE91ZG9NVTNQMDFSdjFXZGFHblNvbklnQ0phd2ZoMDRXSHNubkVaRDFDSjBaOGFRakVNbkJjMlJIVkx5eFByVl80MmlPN3l5b0t1anktVGh3ZmtlSm5y?oc=5,"google_rss_""해외이전"" when:2d",22.0,23.0,"digital_asset_stablecoin,policy_legislation,stablecoin",stablecoin_legislation,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,general,global_incident:digital_asset_policy:digital_asset_sector:vasp_aml_rulemaking,general,,"insufficient_industry_basis:actor=False,change=True,bridge=False",1,global_platform_or_overseas_rule,Y,global,22.0,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:vasp_aml_rulemaking:policy_change,global_incident:digital_asset_policy:digital_asset_sector:vasp_aml_rulemaking,경쟁사_해외이슈,GOV_FINANCIAL_DIGITAL_POLICY,government_digital_finance_policy,global_incident:digital_asset_policy:digital_asset_sector:vasp_aml_rulemaking,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,4,4,3,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,,other,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,,global_incident:digital_asset_policy:digital_asset_sector:vasp_aml_rulemaking,government_digital_finance_policy,weak_gov_basis:no_public_actor_action_domain,,,
489,정부/국회,정부_국회,과학기술정보통신부,"""KT에 털리고 티빙에 또 털렸다""…개인정보 유출 2천만명 육박",kt에 털리고 티빙에 또 털렸다 개인정보 유출 2천만명 육박,1코노미뉴스,1코노미뉴스,"Tue, 23 Jun 2026 06:56:10 GMT","""KT에 털리고 티빙에 또 털렸다""…개인정보 유출 2천만명 육박 1코노미뉴스",https://news.google.com/rss/articles/CBMicEFVX3lxTE81VnJmTzVwR2NNZ09iVU9KTVREYkctQng4dXo1NmxRSW5kRkkzV2tUclFfUkxTM0FpTmk2aGhsWDRYUmhRUXQ3OE4zbGhrUXk2NGVTdGhMd294Q05kOE1Eei1kd1FwRlBOWGRVSkdsVTE?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,16.0,-13.0,"phishing_security,privacy_security_reliability",security_privacy_leak,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,direct_risk,privacy_security:tving:data_leak,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,16.0,privacy_security_reliability,government:tech_security_policy,global_incident:platform_regulation:tving:platform_regulation:general,global_incident:platform_regulation:tving:platform_regulation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:tving:platform_regulation,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:tving:platform_regulation,comp_domestic_direct_risk,weak_gov_basis:no_public_actor_action_domain,,,
782,정부/국회,정부_국회,공정거래위원회,"공정거래위원회, 개인정보보호위원회애 대한 국회 정무위원회의 국정감사가 지난해 10월 14일 서울 여의도 국회에서 열렸다. 김광일 홈플러스 대표(왼쪽)와 김병주 MBK파트너스 회장이 증인으로 출석해 고개를 숙이고 있다. 김민수기자 mskim@etnews.com",공정거래위원회 개인정보보호위원회애 대한 국회 정무위원회의 국정감사가 지난해 10월 14일 서울 여의도 국회에서 열렸다 김광일 홈플러스 대표 왼쪽 와 김병주 mbk파트너스 회장이 증인으로 출석해 고개를 숙이고 있다 김민수기자 mskim etnews com,전자신문,전자신문,"Tue, 23 Jun 2026 16:58:02 GMT","공정거래위원회, 개인정보보호위원회애 대한 국회 정무위원회의 국정감사가 지난해 10월 14일 서울 여의도 국회에서 열렸다. 김광일 홈플러스 대표(왼쪽)와 김병주 MBK파트너스 회장이 증인으로 출석해 고개를 숙이고 있다. 김민수기자 mskim@etnews.com 전자신문",https://news.google.com/rss/articles/CBMi1g5BVV95cUxOWjVTZFNHTm51bURBblFWUkZGRU01cmg2aC1fMXFwUndwUnZwZjN3Z2M1QW1UNmZIRVU0Y2hwbjRjYU5XVW9abG1TbnYtSHViMkwxMzBVaExfMUUyN2NSNGVOaGRKTDlKNlloN3hfdEwyOE13ZEVxdV9uSGF5cVlCSnlGS0hoRTQtUWxkdjE0TUd5NjBpeWRldmZjQWY0dEpfcmMwRmhxZFZXcy13Z3oxcWpyNk9xTkFlRGt4UUwybkE0Qkl3cXlJSzZSdjIwM0ZLNjZNZXExXzlKTm4wMExmdmhKMXZMWG9Cd1NfOFdwNTJvU0RXNHNqeG5NeF90b0tpaTQ5cWtDUm9mX1JabXhwMkVYQ0gwRm1fSkI2c3ljclNvbS1WZFd0alZWc0U2dC0yN2ZXb0s3YWZjV3dLd1FUdlJNWEZETl9TWWJXSlJ5T0loLTRvWkY2MjhrNHA1V016dnNMaktmZXBjMFlhNkp1QmdFV3ZsMmhobTNVNFJHTzR6U0NrVjFiOTdWS1B4RkdLb25jSnhqSURwdzVTaUxNUTUxVXB3ZXVzT3dnWk5oMWZrOHd3MU04dktHSlVKbzhLLUdYTFgta2NGS0NIdC1pX2NocUZxWFktLUxNVnlGbEI3QWtVQW5zSzdielB0UlhWdThFblM0YTZ2ejQtcVltVDlBYWVQZWdxRkd5cW1kb3V6VzlrVHpXU0lxd3JoYjJGV2lyQUFYZVNVN2NzcURKdEROVWo0N2tQeV8xU3NvVnl2eFpQTHdVbWRyQkNEbVM4aGc5UUNMdXR6VG1xMkJodUw2aEZHaTBndjdfaWZTcnJNa2pDb05kWTc0RXVKbjNHWXZ4WEVCdVF5TXIxZVNzUFAzV3dIZWN5VkNSTmJkelR3bnBXdXJJYU5SSm8zS1RtcFpoQzcxdE42UnhFMUNrN1Q0TVdfb0U0TUFjXzFfYjBSR09CMUtrZFQ3VThzYUljRWZXT0pWX25yVVFkY0VNajB5NnZsREpBOXVDMmtvZGJVTUZ6QVJMdXpfT0tieW9XbWpySWp3MGNJRHQ0TS1ULW1rcEE1a0J0UEVWWmU5cEVVcGU2Q0dKN3V5WDh5Y2U1eDZVU3VPeVFwSll0aHRSR1ExOHhCVENvU0JxZGtsWlJlUkVCdFZRN1pudzkzdV9zWlQzcUQ5M000aWFoSEFPQl9GSnNjVjRDTTIyZjFoY01JVm91TWlKSlV6MDliSmN5TWhET1hZaUdTY2ROa1lnQWpPSXBqVFAxT0g0dGpwN1lWR3pnR0NQQ2RGOXZfemdzLVl6NWc4TlZLU2RYM3ROR1RZYVhRSkJKemVTeVdXTmlyNVYxRTZ6MGt1SWxIaDIwOTFHRS1qMzhOWEdQNnBHMjJhZzBPSEtYZjlUV1hhdWFpQzBtWVhhcUdEdU5IQ0hub05sdUg1dTFxbVpzaU1GMUNXVHhXaTFUdE1DdENfVzVTZjhkdUNKMDVWTGhiT19DV2hGSTVLNXJ5YXBmMmJKcVdRVDlkbzI2eGZkZ2dOWlFZd05sVUl1bEQzdFJ5NTJNOW1YMHVvZFp6R0FxYk5iSXZ1aUpDaEUyb3I3WjdpVVAxWkt5QzZLOHc3aXZWSGNNczQzM0toM3MzN25TSW1QeE5JX1NYM0RuLXNGQXRZQ1Z1cnp3dEhsa1dfRFQ4WDF4MFQzaDB3Q3A3WjhrRjJQZnhkQlNuTEt1Ty1GM1JCUE9ic0pWOGJ0ZV9GVDdjNDdGUTBhM2c1RjB4eXhtd1ZOM0pZdC12TXphN01CTXFwaDFDaEJqZFJnaWVONGQ1SDRHUEpVNl9jNjM4U0tTX2hOMEx3Q25Bdk9uNWtjSU9fVTlPMGRlV21yNFA5Q3VGc1p6YXFjLVVlUEdqX2xQNzhTV0Zwa3E3N0lmY2x3cHoxSG5kOEl2STc0RUJlSExjVUpyQTRoRnh2amg5c2VrSlhXMEhjaldnMTNuQzJQZ1RQV2oyT2pKajB0TGVHV0p5Z2hUVm42VzRCYUVRZ2UtbVkyeWxFVkhaNmVhbHFGalNPN05WWVVwTl82Qm1vcVNhSHpseXZQUTZkUHRTWTlYVVZ5R0RSLW44N0xsMFVLb2hhMmZOckNNbGp5cXl3QXVQYnllQW51SE9YVkZqVlZIWGxIVnNlNkNSa0hKQmlBZjltRDBMUHJqbHNhcEkyU1BNbE0tOVU1a2tEeG1FZVhIOVBXc0JwcmUzZXBaNV9vMnc4N1RabG53UVdzcDNFcHhXVm9XVV9VQW5ySDZxc1Zsc3NHM3hkb2NPRTkzTkVpQmIyYW1lWkZ6cVJreFhnaGxWeG0wdS1pbHRWRW84SkhqYTc3Q29ZdkQzcFJuM2ExSHVGUkRieHA5aTFfUUcxNkh2VEZfekY5c1FqeHBxOVFoY1JGVWFzaXFEWmUwSTFKcXBLeDEwUXJYNHNBb0tSVC1oeXNONDZJY2NSS0ZsRUNfQmZHUTZFVzY1c3BTMVI1U2NWd3N2YWYxaXc?oc=5,google_rss_공정거래위원회 site:etnews.com when:2d,14.5,-10.5,"antitrust_platform,policy_legislation",antitrust_general,공정위,v26_2_government_without_central_public_actor_action:no_public_actor_action_domain,,,,,,general,24.0,published_today,direct_risk,v27:platform_enforcement:microsoft:privacy_data_violation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,14.5,policy_legislation,government:policy_legislation,global_incident:platform_enforcement:microsoft:privacy_data_violation:general,global_incident:platform_enforcement:microsoft:privacy_data_violation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,global_incident:platform_enforcement:microsoft:privacy_data_violation,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,4,5,4,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,COMP_OVERSEAS_REGULATION_DATA,overseas,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,global_incident:platform_enforcement:microsoft:privacy_data_violation,comp_overseas_regulation_data,weak_gov_basis:no_public_actor_action_domain,,platform_enforcement:microsoft:privacy_data_violation,
3276,정부/국회,정부_국회,디지털자산기본법,"국내 디지털자산 제도화 ‘시급’…전문가들, “해외 법안 참고해 국내 제도 설계 나서야”",국내 디지털자산 제도화 시급 전문가들 해외 법안 참고해 국내 제도 설계 나서야,테크월드,테크월드,"Tue, 23 Jun 2026 02:03:41 GMT","국내 디지털자산 제도화 ‘시급’…전문가들, “해외 법안 참고해 국내 제도 설계 나서야” 테크월드",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5kVUgyUlZpUXlHZWF3VWkxMmUtd1VrcThMOFRESERSSGNDWmpLYUlkbEZZQ2M5OEszMXJlQWRuN0x4bHh5NVdxcUlZTk5IR2Y3NFdkbnNfM2VmQk5MWktJb2RYUEVmcS1x?oc=5,google_rss_디지털자산기본법 when:2d,13.0,15.0,"digital_asset_stablecoin,policy_legislation",digital_asset_stablecoin,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,official_action,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,general,Y,"industry_basis_pass:actor=False,change=True,bridge=True",2,global_platform_or_overseas_rule,Y,global,13.0,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy:policy_change,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,경쟁사_해외이슈,GOV_FINANCIAL_DIGITAL_POLICY,government_digital_finance_policy,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,4,4,3,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,,other,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,government_digital_finance_policy,weak_gov_basis:no_public_actor_action_domain,,,
1520,정부/국회,정부_국회,플랫폼 규제,"앱티브·엔비디아, 엣지 AI 상용화 가속…젯슨 토르 플랫폼 협력 확대",앱티브 엔비디아 엣지 ai 상용화 가속 젯슨 토르 플랫폼 협력 확대,더테크,더테크,"Wed, 24 Jun 2026 00:44:50 GMT","앱티브·엔비디아, 엣지 AI 상용화 가속…젯슨 토르 플랫폼 협력 확대 더테크",https://news.google.com/rss/articles/CBMiY0FVX3lxTFBiOGltYjY4UDRnTk4xTG9ES2s2MC1wbVdhQkl0b09mdEVqWVFaX0dGaGpjbUVKcDNaR1dzSmtYckoydkoyWXFKSU1CbVlZWGRYeWROdnZxOU56cWExNFFQLTg5aw?oc=5,google_rss_플랫폼 규제 when:2d,10.0,-34.0,"ai_infrastructure_security,market_power_platform",ai_infrastructure_security,,v43_not_government_policy,Y,,,,,platform_operator_obligation,24.0,published_today,business_change,global_incident:platform_regulation:platform_sector:platform_regulation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,global_platform_or_overseas_rule,Y,global,10.0,"policy_legislation,market_power_platform,ai_infrastructure_security",government:regulatory_enforcement,global_incident:platform_regulation:platform_sector:platform_regulation:general,global_incident:platform_regulation:platform_sector:platform_regulation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,global_incident:platform_regulation:platform_sector:platform_regulation,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,4,4,5,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,COMP_OVERSEAS_REGULATION_DATA,overseas,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,global_incident:platform_regulation:platform_sector:platform_regulation,comp_overseas_regulation_data,weak_gov_basis:no_public_actor_action_domain,,,
1640,정부/국회,정부_국회,스테이블코인,"리플, 미카 규제 관문 통과...유럽 스테이블코인 시장 접수할까",리플 미카 규제 관문 통과 유럽 스테이블코인 시장 접수할까,코인리더스,코인리더스,"Tue, 23 Jun 2026 14:20:00 GMT","리플, 미카 규제 관문 통과...유럽 스테이블코인 시장 접수할까 코인리더스",https://news.google.com/rss/articles/CBMiSkFVX3lxTE1uVG91TUVDRGw0cFM1NGxVRGdjRGo5RXY3VXBPNUtjcWdRQWRwZEZiTzRUOEY4MzJTSktYU3N0aUpMOVFtRVVZS2RR?oc=5,google_rss_스테이블코인 AI when:2d,8.0,4.0,"digital_asset_stablecoin,policy_legislation,stablecoin",stablecoin_general,,v43_not_government_policy,,,,,,general,14.0,published_yesterday,general,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,decision,,"insufficient_industry_basis:actor=False,change=True,bridge=False",1,global_platform_or_overseas_rule,Y,global,8.0,"policy_legislation,digital_asset_stablecoin",government:digital_asset,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy:general,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,경쟁사_해외이슈,GOV_FINANCIAL_DIGITAL_POLICY,government_digital_finance_policy,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,4,4,3,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,,other,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,government_digital_finance_policy,weak_gov_basis:no_public_actor_action_domain,,,
3141,경쟁사/해외이슈,경쟁사_해외이슈,일본 빅테크,"""日, AI 인프라 핵심 시장"" 블랙스톤, 46조 '베팅'",ai 인프라 핵심 시장 블랙스톤 46조 베팅,네이트,네이트,"Wed, 24 Jun 2026 01:13:00 GMT","""日, AI 인프라 핵심 시장"" 블랙스톤, 46조 '베팅' 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA2MkUzZFRVZVdzd2hYWFlWYkhmX0ZiaGhJSTNoa3ZhYk9qR0o1cXBUZ1A4c0htY1hsZS0zS1dQVGlBcnlYXzJxN1lPaWRXUm4wdFh3?oc=5,google_rss_일본 빅테크 when:2d,6.0,11.0,ai_infrastructure_security,ai_infrastructure_security,,v43_not_true_competitor,,,,,,general,24.0,published_today,business_change,,general,,"insufficient_industry_basis:actor=False,change=True,bridge=False",1,overseas_platform_ai_rule_pass,Y,ai_infra_company,6.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,GOV_AI_DIGITAL_POLICY,government_ai_core_policy,국가 AI 인프라/AIDC/GPU 정책,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,4,4,5,,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,local_low_confidence,,OFF_TOPIC,COMP_GENERAL_LOW_RELEVANCE,other,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,국가 AI 인프라/AIDC/GPU 정책,government_ai_core_policy,,,,
